Headlines,Time,Description
Factbox: Airbus and Boeing aircraft deals at Paris Airshow,Jun 19 2019,Following is a summary of commercial aircraft deals announced by Airbus and Boeing at the Paris Airshow.
French fashion group Kering pledges to hire only over-18 models,May 15 2019,"Kering, the French fashion group whose brands include Gucci and Saint Laurent, said it would only work with models aged over 18, as the fashion industry aims to tighten up its ethical guidelines."
Exclusive: Indian steel firms seek higher duties on steel imports as prices drop,Feb 05 2019,"Indian steel firms are putting pressure on the nation's government to impose higher duties on imports as trade disputes and a global economic slowdown divert surplus Asian steel stocks to India, industry executives and government sources said."
Hard Rock International eyes bid for Greek tourist resort casino: paper,Sep 04 2019,"Hard Rock International will bid for a casino license in a long-delayed tourist development in Athens and plans to spend more than 1 billion euros ($1.11 billion) on the project, the U.S. firm's chairman said in a newspaper interview."
Timeline: GM reaches tentative labor deal with UAW union to end strike,Oct 16 2019,"General Motors Co and the United Auto Workers union have reached a tentative agreement for a new labor deal to end a month-long nationwide strike by about 48,000 hourly workers, the union said on Wednesday."
Airbus 2018 delivery goal questioned by analysts ahead of results,Oct 29 2018,Airbus  will have to equal a record final quarter for deliveries if the European planemaker is going to meet its overall 2018 targets following a series of production setbacks.
Air France strike hits flights as French brace for rail stoppages,Apr 07 2018,"Air France grounded just under a third of flights on Saturday as staff staged a walkout over pay, and travelers also braced for a fresh wave of train strikes starting later in the day, crippling much of France's transport network."
U.S. gasoline demand recovery falters as refiners ramp up output,Jun 18 2020,"A recovery in demand for gasoline in the United States, the world's largest market for the motor fuel, hit a plateau last week as coronavirus cases surged in some states, undercutting refiners' efforts to ramp up low fuel production."
"S&P 500 posts biggest drop since May after Fed cut, Powell comments",Jul 31 2019,"The Dow and S&P 500 suffered their biggest daily percentage drops since May 31 on Wednesday after the Federal Reserve cut interest rates for the first time in a decade, but remarks by Fed Chair Jerome Powell dampened expectations for further cuts going forward."
Underlying U.S. producer inflation boosted by services,Jun 11 2019,"Underlying U.S. producer prices increased solidly for a second straight month in May, boosted by a surge in the cost of hotel accommodation and gains in portfolio management service fees."
"UK cyber security centre continuing work on Huawei, says PM's spokesman",Jul 10 2020,"Britain's National Cyber Security Centre is continuing its work looking into Huawei, a spokesman for Prime Minister Boris Johnson said on Friday, responding to reports that culture minister Oliver Dowden would make a statement on Tuesday."
"Huawei first-quarter revenue growth slows sharply amid U.S. ban, virus headwinds",Apr 21 2020,"Huawei Technologies' revenue growth slowed sharply in the first quarter but the world's top telecoms equipment supplier labeled the performance as ""resilient"" in light of pressure from the United States and the impact of the COVID-19 pandemic."
Exclusive: India's Reliance seeks to sell Mideast crude cargoes in rare move,Mar 27 2020,"India's Reliance Industries Ltd  is seeking to sell some April-loading crude cargoes in a rare move as it plans to cut crude processing after the coronavirus pandemic hit global fuel demand, four sources said on Friday."
Facebook executive meets with U.S. lawmakers to discuss privacy,May 07 2019,"With a multibillion-dollar settlement looming for Facebook over user privacy violations, Chief Operating Officer Sheryl Sandberg met with U.S. lawmakers on Capitol Hill on Tuesday to discuss legislation to protect users of the social network, officials said."
American Airlines suspending flights to Milan after U.S. travel warning,Feb 29 2020,"American Airlines Inc  will suspend all U.S. flights to Milan, the airline said late on Saturday, just hours after the U.S. State Department said it was raising its travel warning for parts of Italy due to the coronavirus outbreak."
"Amazon.com's stock market value hits $900 billion, threatens Apple",Jul 18 2018,"Amazon.com's  stock market value reached $900 billion on Wednesday for the first time, marking a major milestone in its 21-year trajectory as a publicly listed company and threatening to dislodge Apple  as Wall Street's most valuable jewel."
"Tesla shares dive again, stung by fatal crash, credit downgrade",Mar 28 2018,"Tesla Inc shares fell sharply again on Wednesday, reeling from a credit downgrade of the electric car maker by Moody's Investors Service, federal probes of a fatal crash and concerns about Model 3 production."
Factbox: Rare earths projects under development in U.S.,Apr 22 2020,"The U.S. government is planning to fund domestic rare earths projects in an attempt to reduce its reliance on China, the global leader of the specialized sector."
"New Vodafone boss to cut costs, make more of masts",Nov 13 2018,Vodafone's new chief executive  said he would cut costs and seek to maximize the value of its masts and towers to drive higher returns at the world's second largest mobile operator after taking charge last month.
Scrapped Chile APEC summit throws up new hurdle for U.S.-China trade deal,Oct 31 2019,"Leaders from the United States and China encountered a new obstacle in their struggle to end a damaging trade war on Wednesday, when the summit where they were supposed to meet was canceled because of violent protests."
Beyond Meat names former Tesla executive as COO,Sep 19 2019,"Beyond Meat Inc  said on Thursday it has named former Tesla Inc  executive Sanjay Shah as chief operating officer, effective Sept. 18."
"Tesla backtracks on store closures, plans top-end price rise",Mar 11 2019,"Electric carmaker Tesla Inc backed off its plan to close all of its U.S. stores in a blog post https://www.tesla.com/en_NZ/blog/update-tesla-stores-and-pricing?redirect=no and instead will raise prices of its high-end vehicles by about 3 percent on average, as it strives for profitability."
France and EU ready to respond with sanctions in U.S. trade dispute: French minister,Oct 03 2019,"France and the European Union (EU) are ready to respond ""with sanctions"" if the United States were to reject the hand extended by Europe in the Airbus  trade dispute, said French Finance Minister Bruno Le Maire said on Thursday."
Bargain-conscious Americans lift used-car sales in the coronavirus economy,Jun 05 2020,"At the height of the coronavirus pandemic in mid-April, used-car dealer Alex Tovstanovsky had vehicles jammed six rows deep on his lot in the western Chicago suburb of Naperville."
